source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009913,epidermal cell differentiation,5.695126672704347e-14,True,"""The process in which a relatively unspecialized cell acquires specialized features of an epidermal cell, any of the cells making up the epidermis."" [GOC:dph, GOC:go_curators, GOC:mtg_sensu, GOC:sdb_2009, GOC:tb]",253,52,15,21026,0.28846153846153844,0.05928853754940711,query_1,"['GO:0008544', 'GO:0030855']"
REAC,REAC:R-HSA-6809371,Formation of the cornified envelope,4.197525785933237e-13,True,Formation of the cornified envelope,129,43,13,11004,0.3023255813953488,0.10077519379844961,query_1,['REAC:R-HSA-6805567']
GO:BP,GO:0008544,epidermis development,2.001481154055483e-12,True,"""The process whose specific outcome is the progression of the epidermis over time, from its formation to the mature structure. The epidermis is the outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species."" [GOC:go_curators, UBERON:0001003]",398,52,16,21026,0.3076923076923077,0.04020100502512563,query_1,['GO:0009888']
REAC,REAC:R-HSA-6805567,Keratinization,1.4212621899220962e-11,True,Keratinization,216,43,14,11004,0.32558139534883723,0.06481481481481481,query_1,['REAC:R-HSA-1266738']
GO:BP,GO:0030216,keratinocyte differentiation,2.5588874455781537e-11,True,"""The process in which a relatively unspecialized cell acquires specialized features of a keratinocyte."" [GOC:dph, GOC:mah, GOC:sdb_2009, GOC:tb]",178,52,12,21026,0.23076923076923078,0.06741573033707865,query_1,"['GO:0009913', 'GO:0043588']"
GO:BP,GO:0043588,skin development,6.807035912904477e-11,True,"""The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."" [GOC:jl, UBERON:0002097]",327,52,14,21026,0.2692307692307692,0.04281345565749235,query_1,['GO:0048513']
GO:BP,GO:0045109,intermediate filament organization,2.565186869074717e-10,True,"""Control of the spatial distribution of intermediate filaments; includes organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:ai]",73,52,9,21026,0.17307692307692307,0.1232876712328767,query_1,"['GO:0045104', 'GO:0097435']"
GO:BP,GO:0045104,intermediate filament cytoskeleton organization,2.7036509332420737e-09,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising intermediate filaments and their associated proteins."" [GOC:ai]",94,52,9,21026,0.17307692307692307,0.09574468085106383,query_1,"['GO:0007010', 'GO:0045103']"
GO:BP,GO:0045103,intermediate filament-based process,2.9810803478174003e-09,True,"""Any cellular process that depends upon or alters the intermediate filament cytoskeleton, that part of the cytoskeleton comprising intermediate filaments and their associated proteins."" [GOC:ai]",95,52,9,21026,0.17307692307692307,0.09473684210526316,query_1,['GO:0009987']
GO:BP,GO:0030855,epithelial cell differentiation,3.0202678770209487e-08,True,"""The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium."" [GOC:ecd, PMID:11839751]",746,52,16,21026,0.3076923076923077,0.021447721179624665,query_1,"['GO:0030154', 'GO:0060429']"
REAC,REAC:R-HSA-9725554,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin,5.117669771529941e-08,True,Differentiation of Keratinocytes in Interfollicular Epidermis in Mammalian Skin,40,43,7,11004,0.16279069767441862,0.175,query_1,['REAC:R-HSA-9734767']
REAC,REAC:R-HSA-9734767,Developmental Cell Lineages,5.117669771529941e-08,True,Developmental Cell Lineages,40,43,7,11004,0.16279069767441862,0.175,query_1,['REAC:R-HSA-1266738']
